"year"	"streamflow"	"ivar"
1951	0.874843673687424	1
1952	1.93615411324786	1
1953	0.822112700956451	1
1954	5.84620052401302	1
1955	2.85650979344729	1
1956	1.68983760683761	1
1957	0.29087934981685	1
1958	2.07390897181522	1
1959	2.61661838624339	1
1960	1.23993613909239	1
1962	1.52188651048026	1
1963	1.72035648148148	1
1964	1.42046319190069	1
1966	1.11142771927147	1
1967	1.13253133903134	1
1968	1.98009530168905	1
1969	2.95763751526252	1
1970	1.31872667378917	1
1971	0.900406288156288	1
1972	1.58205568274318	1
1973	2.93485144485144	1
1974	1.40688619251119	1
1975	1.49090053927554	1
1976	1.39421405677656	1
1977	0.732558608058608	1
1978	2.15884958791209	1
1979	1.65509797262922	1
1980	0.187851737382987	1
1981	1.2979573539886	1
1982	0.290583651302401	1
1983	1.45576152319902	1
1984	2.65780851902727	1
1985	2.81480508496134	1
1986	1.28061455789581	1
1987	1.10394753510379	1
1988	1.86771192002442	1
1989	1.1236080458893	1
1990	2.23167759208384	1
1992	0.742512922262922	1
1993	1.38318680046805	1
1994	0.129225656288156	1
1995	0.831239672364672	1
1996	1.904085495523	1
1997	0.485412087912088	1
1998	3.16090519434269	1
1999	2.66685033831909	1
2000	3.3042434498372	1
2001	1.5737168120155	1
2003	0.342991389397639	1
2004	1.04529719932845	1
2005	1.23703579059829	1
2006	0.128710699023199	1
2007	0.61864590964591	1
2008	1.92563534035409	1
2009	0.550985767704518	1
2010	2.50676542785918	1
2011	1.21910144485145	1
2012	0.388542913105413	1
2013	0.239185274216524	1
2014	0.274869836182336	1
